folder,total,poster_ready,card_ready,small_print,screen_only,unknown
Geode Inn,2,0,0,2,0,0
Geode Inn/Geode Inn Gallery/10 Origin Story,3,0,0,0,3,0
Geode Inn/Geode Inn Gallery/12 Generated Art,15,0,0,15,0,0
Geode Inn/Zones,2,0,0,2,0,0
Geode Inn/Zones/jpegs,231,1,3,227,0,0
Geode Inn/Zones/zones,371,0,80,289,2,0
Geode Inn/all building components for game,22,0,0,22,0,0
Geode Inn/all building components for game/Concept Art — Aug 28 Session (76 images),72,0,0,0,0,72
Geode Inn/all building components for game/Game emulator files/Bios/Ppsspp,4,0,0,0,4,0
Geode Inn/all building components for game/Game emulator files/Drastic,1,0,0,0,1,0
Geode Inn/all building components for game/all gathered art for the game,989,0,195,728,19,47
Geode Inn/all building components for game/all gathered art for the game/artifacts etc,24,0,0,24,0,0
Geode Inn/all building components for game/all gathered art for the game/chibi character representations for app games,45,0,0,45,0,0
Geode Inn/all building components for game/all gathered art for the game/full presence characters,848,0,28,705,2,113
Geode Inn/all building components for game/all gathered art for the game/stone images,7,0,7,0,0,0
Geode Inn/all building components for game/all gathered art for the game/zone images,74,0,10,64,0,0
Geode Inn/all building components for game/documents,1,0,0,1,0,0
Geode Inn/from steam deck/masons,1,1,0,0,0,0
Geode Inn/stones,120,0,0,0,120,0
Geode Inn/stones/stones,120,0,0,0,120,0
Geode Inn/stones/stones2,25,0,0,0,13,12
Geode Inn/stones/stones2/2,207,0,0,1,102,104
My Laptop/Files for Google share/book stuff/gemstone images,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Abalone,6,0,0,0,3,3
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Banded Agate,5,0,0,2,2,1
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Crazy lace agate,3,0,1,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Dendritic Agate,4,0,2,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Fire Agate,4,0,0,1,3,0
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Fossil agate (turritella),5,0,0,2,2,1
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Montana moss agate,6,0,1,1,2,2
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Moss Agate,3,0,0,0,2,1
My Laptop/Files for Google share/book stuff/gemstone images/Agates/Tree Agate,2,0,0,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Agates/flower agate,3,0,1,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Agates/plumed agate,4,0,1,0,2,1
My Laptop/Files for Google share/book stuff/gemstone images/Alexandrite,2,0,0,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Amazonite,2,0,0,2,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Amber,2,0,0,2,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Amethyst,3,0,0,0,3,0
My Laptop/Files for Google share/book stuff/gemstone images/Ametrine,2,0,0,2,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Ammolite,4,0,1,0,2,1
My Laptop/Files for Google share/book stuff/gemstone images/Ammonite,2,0,0,2,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Andalusite,4,0,1,0,2,1
My Laptop/Files for Google share/book stuff/gemstone images/Angelite,2,0,0,2,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Apatite,2,0,0,2,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Aqua Aura,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Aquamarine,2,0,0,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Aquaprase,3,0,1,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Aragonite,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Aventurines/Green Aventurine,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Aventurines/Red Aventurine,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Azurite,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Bronzite,3,0,0,0,3,0
My Laptop/Files for Google share/book stuff/gemstone images/Calcite,3,0,0,0,3,0
My Laptop/Files for Google share/book stuff/gemstone images/Carnelian,3,0,0,1,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Cat's Eye,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Chalcedonies/Blue Chalcedony,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Chalcedonies/Dendritic Chalcedony,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Charoite,2,0,0,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Chiastolite,2,0,0,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Chrome Diopside,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Chrysanthemum stone,2,0,0,1,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Chrysocolla,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Chrysocolla azurite,2,0,1,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Chrysoprase,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Citrine,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Corals/Black Coral,2,0,0,0,1,1
My Laptop/Files for Google share/book stuff/gemstone images/Corals/Branch Coral,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Covellite,2,0,1,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Cuprite,1,0,1,0,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Diamond,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Dumortierite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Emerald,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Fluorites/Green Fluorite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Fluorites/Purple Fluorite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Fluorites/Rainbow Fluorite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Garnet,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Garnet/Hessonite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Gold,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Hawk's Eye,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Hematite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Herkimer Diamond,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Iolite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Jade,8,0,2,1,3,2
My Laptop/Files for Google share/book stuff/gemstone images/Jadeite,2,0,0,0,2,0
My Laptop/Files for Google share/book stuff/gemstone images/Jaspers/Bloodstone,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Jaspers/Dendritic jasper,1,0,1,0,0,0
My Laptop/Files for Google share/book stuff/gemstone images/Jaspers/Leopardskin Jasper,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Jaspers/Moukaite jasper,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Jaspers/Picture Jasper,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Jet,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Kunzite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Kyanite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Labradorite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Lapis Lazuli,2,0,0,0,1,1
My Laptop/Files for Google share/book stuff/gemstone images/Larimar,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Lepidolite,2,0,0,0,1,1
My Laptop/Files for Google share/book stuff/gemstone images/Malachite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Moldavite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Moonstones/Rainbow Moonstone,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Moonstones/White Moonstone,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Morganite,2,0,0,0,1,1
My Laptop/Files for Google share/book stuff/gemstone images/Muscovite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Obsidians/Rainbow Obsidian,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Obsidians/Snowflake Obsidian,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Onyx,3,0,0,0,3,0
My Laptop/Files for Google share/book stuff/gemstone images/Opals/Fire Opal,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Opals/Peruvian Blue Opal,2,0,0,0,1,1
My Laptop/Files for Google share/book stuff/gemstone images/Opals/Water Opal,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Pearl,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Peridot,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Petrified Wood,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Pietersite,2,0,0,0,1,1
My Laptop/Files for Google share/book stuff/gemstone images/Platinum,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Prehnite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Pyrite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Quartzes/Clear Quartz,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Quartzes/Rose Quartz,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Quartzes/Rutilated Quartz,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Quartzes/Smoky Quartz,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Quartzes/Tourmalinated Quartz,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Rhodochrosite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Rhodonite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Ruby,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Sapphire,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Sard,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Sardonyx,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Serpentine,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Silver,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Sodalite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Spessartite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Spinel,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Sugilite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Sunstone,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tanzanite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tektite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tiger Iron,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tiger's Eyes/Brown Tiger's Eye,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tiger's Eyes/Red Tiger's Eye,2,0,0,0,1,1
My Laptop/Files for Google share/book stuff/gemstone images/Topazes/Blue Topaz,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Topazes/Imperial Topaz,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tourmalines/Green Tourmaline,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tourmalines/Multi-Colored Tourmaline,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Tourmalines/Watermelon Tourmaline,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Turquoise,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Unakite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/Zoisite,1,0,0,0,1,0
My Laptop/Files for Google share/book stuff/gemstone images/arfvedsonite,4,0,0,1,1,2
My Laptop/Files for Google share/book stuff/gemstone images/astrophyllite,3,0,0,0,3,0
My Laptop/Files for Google share/book stuff/gemstone images/atlantisite,6,0,0,0,4,2
My Laptop/Files for Google share/book stuff/stones2,25,0,0,0,13,12
My Laptop/Files for Google share/book stuff/stones2/2,207,0,0,1,102,104
My Laptop/Files for Google share/photography backdrops/-tier 3 vc&a  is prototype-,3,0,3,0,0,0
My Laptop/Files for Google share/photography backdrops/Tier 1 -tiffany is prototypre-,2,0,0,1,1,0
My Laptop/Files for Google share/photography backdrops/Tier 2 -chaumet is prototype-,8,0,0,5,3,0
My Laptop/Files for Google share/site images/Old Inventory/cabs,17,0,0,11,6,0
My Laptop/Files for Google share/site images/Old Inventory/earrings,19,0,16,0,3,0
My Laptop/Files for Google share/site images/Old Inventory/leatherwork/leatherwork/12,7,0,7,0,0,0
My Laptop/Files for Google share/site images/Old Inventory/leatherwork/leatherwork/16,2,0,2,0,0,0
My Laptop/Files for Google share/site images/Old Inventory/leatherwork/leatherwork/24,5,0,5,0,0,0
My Laptop/Files for Google share/site images/Old Inventory/leatherwork/leatherwork/8,17,0,17,0,0,0
My Laptop/Files for Google share/site images/Old Inventory/leatherwork/leatherwork/love,4,0,4,0,0,0
My Laptop/Files for Google share/site images/Old Inventory/leatherwork/leatherwork/multi,3,0,3,0,0,0
My Laptop/Files for Google share/site images/Old Inventory/necklaces,36,6,2,17,11,0
Shared inn files/Geode Inn (Copy),17,0,0,17,0,0
Shared inn files/Geode Inn (Copy)/04 — Zone Designs/Game emulator files/Bios/Ppsspp,4,0,0,0,4,0
Shared inn files/Geode Inn (Copy)/04 — Zone Designs/Game emulator files/Drastic,1,0,0,0,1,0
Shared inn files/Geode Inn (Copy)/New file data,6,0,0,6,0,0
Shared inn files/Geode Inn Gallery (Copy)/01 World Map Zones,14,0,5,9,0,0
Shared inn files/Geode Inn Gallery (Copy)/02 Inn Interior,11,0,3,8,0,0
Shared inn files/Geode Inn Gallery (Copy)/03 Zone Frames,35,0,17,17,1,0
Shared inn files/Geode Inn Gallery (Copy)/04 Catacomb Frames,28,0,8,20,0,0
Shared inn files/Geode Inn Gallery (Copy)/05 Fae Kingdom,6,0,4,2,0,0
Shared inn files/Geode Inn Gallery (Copy)/06 Main Floor,4,0,1,3,0,0
Shared inn files/Geode Inn Gallery (Copy)/07 Staircase,3,0,2,1,0,0
Shared inn files/Geode Inn Gallery (Copy)/08 Cosmology Upstairs,4,0,0,4,0,0
Shared inn files/Geode Inn Gallery (Copy)/09 World Map,8,0,1,7,0,0
Shared inn files/Geode Inn Gallery (Copy)/10 Origin Story,1,0,0,0,1,0
Shared inn files/Geode Inn Gallery (Copy)/11 Character Concepts,68,0,0,68,0,0
Shared inn files/Geode Inn Gallery (Copy)/12 Generated Art,22,0,0,22,0,0
Shared inn files/Geode Inn Gallery (Copy)/13 Zone Frame Sequences,5,0,5,0,0,0
Shared inn files/Geode Inn Gallery (Copy)/14 Expanded Characters,60,0,0,60,0,0
Shared inn files/Geode Inn Gallery (Copy)/15 Items and Artifacts,13,0,0,13,0,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Abalone,4,0,0,0,2,2
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Banded Agate,4,0,0,2,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Crazy lace agate,2,0,1,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Dendritic Agate,3,0,2,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Fire Agate,3,0,0,1,2,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Fossil agate (turritella),4,0,0,2,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Montana moss agate,4,0,1,1,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Moss Agate,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/Tree Agate,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/flower agate,2,0,1,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Agates/plumed agate,3,0,1,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Alexandrite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Amazonite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Amber,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Amethyst,2,0,0,0,2,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Ametrine,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Ammolite,3,0,1,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Ammonite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Andalusite,3,0,1,0,1,1
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Angelite,1,0,0,0,1,0
Soulstice Jewelry Reliquary/SJ - Book / Words/book stuff/gemstone images/Apatite,1,0,0,0,1,0
