folder,file_name,type,width,height,max_print_w_in,max_print_h_in,tier
Geode Inn,Geode Inn — Emblem (Citrinitas).png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn,Geode Inn — Logo Concept (V4).png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/10 Origin Story,origin_story_mid.jpg,jpeg,640,360,2.1,1.2,SCREEN-ONLY
Geode Inn/Geode Inn Gallery/10 Origin Story,origin_story_mid.jpg,jpeg,640,360,2.1,1.2,SCREEN-ONLY
Geode Inn/Geode Inn Gallery/10 Origin Story,origin_story_mid.jpg,jpeg,640,360,2.1,1.2,SCREEN-ONLY
Geode Inn/Geode Inn Gallery/12 Generated Art,drawing_hands_geode_logo.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,drawing_hands_geode_logo.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,drawing_hands_geode_logo.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_0d00f2bbb_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_0d00f2bbb_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_161795398_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_161795398_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_3c1eb91a8_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_3c1eb91a8_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_7625ef524_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_7625ef524_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_ec4caea20_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_ec4caea20_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_ee2c6c713_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Geode Inn Gallery/12 Generated Art,geode_inn_gargoyle_designs_ee2c6c713_generated_image.png,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones,image (1).jpeg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones,undead chess board 2.jpeg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,Alexia.jpg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,"Aurallia, in caves.jpg",jpeg,1080,2520,3.6,8.4,CARD-READY
Geode Inn/Zones/jpegs,Aurallia.jpg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,Belladonna.jpg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,Beorn.jpg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,Eres 1.jpg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,Evan.jpg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,JOe.jpg,jpeg,1052,1130,3.5,3.8,SMALL-PRINT
Geode Inn/Zones/jpegs,Jay and his derpy wolf.jpg,jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,"John, the beloved Fezzik of the family.jpg",jpeg,1024,1024,3.4,3.4,SMALL-PRINT
Geode Inn/Zones/jpegs,Katy.jpg,jpeg,2028,2048,6.8,6.8,CARD-READY
